text,label,__index_level_0__
"wow that's pretty awesome , i've seen miley cyrus at the hospital",1,2712
yes i've and they're to die for,0,20094
vera died . i need a new honda . you drive ?,1,9395
i love playing guitar . i'm very good in that .,1,4060
   These people in the MSM are DISGUSTING  flag  United States  flag  United States #MAGA,0,1310
yummy sounds really good ! ca not wait ! you famous ?,0,22748
"i'm bruno , how about yours ?",1,554
"  () Ok lets play this game. Which side"" is openly advocating for the persecution of a race &amp; promoting segregation? Which is supporting a militant group very similar to Hitlers brown shirts (Antifa)? Which is calling for gun control (even wanted armbands)?""",1,7518
"yes , five . always loved babies . so are you married ?",1,7509
   We are in this mess because people are stupid and lazy that's why the conservatives are in and she's screwing us over,0,6599
they are so bad about eating their own though . its so disturbing .,0,23193
 THE DEVIL MADE ME DO IT!!!!! THE UGLY FACE OF LIBERALS! I FEEL SORRY FOR THE INNOCENT HONEST ONES THAT ARE JUST BRAINWASHED!,1,12645
do you not think it would inspire them ?,0,25191
"this conversation makes me giggle , thanks for making me laugh !",0,23210
i'm studying to become a dentist .,0,20740
well if you meet anyone who likes to go clubbing hook me up .,0,14240
i'm trying to better myself at my local college .,0,19319
"i used to drive my mother crazy , i liked to smoke , i'm tee total now though",0,25100
"   You are full of shit Sweetie""""",1,8578
have you ever been to the ocean ?,0,25927
i am mary but i do not have a little lamb . just a dog named elvis,1,13268
i want to be a biochemist,0,16354
"everything i wear has to be purple , i love purple .",0,22660
oh that is odd it does not hurt does it ?,0,22279
that's difficult to comprehend if you never knew him .,1,4202
"aww another pretty dog . that could be a fun job , get to be around puppies",1,5173
is there a lot of money in soccer playing ?,1,3208
" RIP The promotion you are trying to access has ended"" shows up""",0,13024
that's sad i feel like no one wants to be my future wife .,0,20339
But the fact that Trump cloaks this fact by stoking false fears about immigrant crime and delivering rage-filled rants about “illegal” immigration shows that this isn’t some genuine and reasoned policy view about the costs and benefits of new entrants to the labor force — it’s a reactionary stance built atop anti-immigrant bigotry.,1,354
can i tell you a secret ?,0,15705
i like to read as well . i have 3 grandsons and love being with them,1,7515
"    So handsome you are! I think people should donate the  shoes to our homeless veterans and other homeless Americans, after they sew a no"" circle over the emblem.""",0,8142
garth is pretty cool . i saw him in concert at college before i dropped out .,1,5417
   I will be looking to invest offshore after this,0,5112
 Hey love just wanted to check on you!!! I hope you are okay hun !!,0,4597
 All we ever hear from Hillary is beeching &amp; moaning.  Dang ! That witch never get tired of complaining!,1,13169
"mangos , no problem . this is a matter of love or death .",0,24810
its a great feeling when a project is done . right ?,0,18783
 Everything he just said. Is exactly why we need gun control. It’s about saving lives. Nothing else matters just saving lives. Some people get bent out of shape over the second amendment. It’s my right. Crying! Put your feelings away coward! put your guns away coward. Gun=Coward,1,11421
